Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment
50,TechCorp,Social Media,Women 25-34,45 days,Email,0.11,7521,3.98,Los Angeles,19/02/2021,150,7377,8,Tech Enthusiasts
51,NexGen Systems,Search,Men 25-34,60 days,Facebook,0.12,10405,5.79,Los Angeles,20/02/2021,134,8463,9,Foodies
52,NexGen Systems,Search,Men 25-34,15 days,Website,0.1,15955,6.48,Houston,21/02/2021,657,9831,7,Foodies
53,TechCorp,Email,Men 18-24,30 days,Facebook,0.13,15428,7.62,Houston,22/02/2021,385,4937,6,Tech Enthusiasts
54,NexGen Systems,Display,Women 35-44,45 days,YouTube,0.02,19832,3.35,New York,23/02/2021,537,4739,9,Outdoor Adventurers
55,NexGen Systems,Social Media,Men 18-24,30 days,YouTube,0.05,17375,6.15,Miami,24/02/2021,450,6012,7,Foodies
56,NexGen Systems,Display,Men 25-34,15 days,Website,0.13,8903,3.7,Miami,25/02/2021,178,8529,9,Health & Wellness
57,NexGen Systems,Email,Women 35-44,15 days,Website,0.04,14511,6.66,Chicago,26/02/2021,164,2122,8,Foodies
58,Innovate Industries,Email,Men 18-24,60 days,Email,0.06,17305,2.7,New York,27/02/2021,569,1850,2,Fashionistas
59,Alpha Innovations,Email,Women 25-34,45 days,Email,0.04,18063,4.93,Chicago,28/02/2021,330,6920,6,Foodies
60,Innovate Industries,Display,Men 25-34,15 days,Email,0.05,10293,6.8,Miami,3/1/2021,256,3421,9,Health & Wellness
61,DataTech Solutions,Email,Men 25-34,45 days,Email,0.05,8785,2.27,New York,3/2/2021,849,9217,5,Fashionistas
62,TechCorp,Email,Men 25-34,30 days,Email,0.09,13848,5.32,Los Angeles,3/3/2021,261,1958,2,Tech Enthusiasts
63,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.01,14435,7.04,Houston,3/4/2021,592,3596,4,Foodies
64,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.02,14001,3.71,Chicago,3/5/2021,201,8702,10,Outdoor Adventurers
65,DataTech Solutions,Display,All Ages,45 days,Website,0.11,8841,7.43,Houston,3/6/2021,648,9122,9,Fashionistas
66,NexGen Systems,Search,All Ages,60 days,YouTube,0.04,11366,7.28,Los Angeles,3/7/2021,187,5048,8,Health & Wellness
67,Alpha Innovations,Display,Women 25-34,30 days,YouTube,0.07,12910,6.33,Miami,3/8/2021,839,5569,7,Foodies
68,TechCorp,Search,Women 25-34,60 days,YouTube,0.12,7823,2.72,New York,3/9/2021,240,2512,6,Tech Enthusiasts
69,TechCorp,Display,All Ages,15 days,Facebook,0.03,11864,7.98,Chicago,3/10/2021,932,9973,9,Tech Enthusiasts
70,Innovate Industries,Email,All Ages,15 days,Facebook,0.1,17414,4.74,Los Angeles,3/11/2021,694,2836,2,Foodies
71,Alpha Innovations,Search,Men 25-34,30 days,Website,0.13,18201,5.58,New York,3/12/2021,202,6745,8,Tech Enthusiasts
72,Alpha Innovations,Social Media,All Ages,15 days,Email,0.03,9549,5.61,Chicago,13/03/2021,416,9187,7,Health & Wellness
73,TechCorp,Social Media,Women 35-44,15 days,YouTube,0.13,16635,7.46,Miami,14/03/2021,576,9999,10,Health & Wellness
74,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.1,9310,5.63,New York,15/03/2021,300,3687,9,Foodies
75,NexGen Systems,Display,All Ages,15 days,YouTube,0.11,5158,6.67,Chicago,16/03/2021,776,4238,3,Health & Wellness
76,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.04,15182,2.03,Houston,17/03/2021,492,7364,2,Fashionistas
77,Innovate Industries,Display,Men 18-24,45 days,Google Ads,0.08,5703,3.23,Chicago,18/03/2021,763,8501,10,Foodies
78,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.02,12008,4.82,Miami,19/03/2021,817,7892,2,Health & Wellness
79,NexGen Systems,Display,Women 35-44,45 days,Google Ads,0.13,15850,7.74,New York,20/03/2021,791,3594,4,Outdoor Adventurers
80,Alpha Innovations,Influencer,Women 25-34,30 days,Email,0.1,9813,6.57,Miami,21/03/2021,737,9941,6,Fashionistas
81,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,0.14,19300,7.62,Miami,22/03/2021,159,3643,1,Outdoor Adventurers
82,NexGen Systems,Social Media,Women 25-34,45 days,YouTube,0.12,17772,6.33,New York,23/03/2021,913,1921,5,Foodies
83,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,0.1,17293,3.74,Houston,24/03/2021,238,8969,6,Outdoor Adventurers
84,NexGen Systems,Search,All Ages,60 days,YouTube,0.08,8398,3.99,Miami,25/03/2021,134,3108,1,Health & Wellness
85,Alpha Innovations,Influencer,Women 35-44,60 days,Email,0.15,15866,2.3,Houston,26/03/2021,159,2139,10,Health & Wellness
86,TechCorp,Social Media,All Ages,30 days,YouTube,0.13,7515,7.38,Houston,27/03/2021,635,8489,3,Foodies
87,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.15,19026,2.22,Miami,28/03/2021,187,2573,10,Fashionistas
88,TechCorp,Search,Men 18-24,60 days,Facebook,0.14,8280,7.89,New York,29/03/2021,537,3042,1,Outdoor Adventurers
89,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,0.1,18251,4.41,New York,30/03/2021,597,8117,6,Tech Enthusiasts
90,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,13108,2.01,Houston,31/03/2021,550,3839,7,Tech Enthusiasts
91,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,0.09,15477,6.98,Houston,4/1/2021,956,9087,3,Foodies
92,TechCorp,Email,Men 25-34,45 days,Email,0.09,17705,7,New York,4/2/2021,628,9545,4,Outdoor Adventurers
93,Innovate Industries,Display,Women 35-44,15 days,Instagram,0.05,18470,2.57,Chicago,4/3/2021,938,7879,10,Fashionistas
94,NexGen Systems,Display,Men 25-34,45 days,Instagram,0.01,14438,7.19,New York,4/4/2021,147,6497,10,Health & Wellness
95,NexGen Systems,Search,Men 18-24,45 days,Facebook,0.08,6278,4.93,Miami,4/5/2021,776,4289,8,Foodies
96,TechCorp,Social Media,All Ages,15 days,Email,0.08,5185,4.61,New York,4/6/2021,108,9532,1,Tech Enthusiasts
97,Innovate Industries,Email,Women 25-34,15 days,Instagram,0.14,18799,3.69,Miami,4/7/2021,395,6079,8,Health & Wellness
98,Alpha Innovations,Search,All Ages,60 days,Facebook,0.04,7365,7.96,New York,4/8/2021,419,4484,1,Fashionistas
99,Alpha Innovations,Search,All Ages,60 days,Instagram,0.02,6565,3.12,New York,4/9/2021,463,6061,8,Foodies
100,TechCorp,Display,All Ages,60 days,Facebook,0.09,9022,5.58,Miami,4/10/2021,521,2572,4,Tech Enthusiasts
101,NexGen Systems,Search,Men 25-34,45 days,YouTube,0.07,18735,4.86,Los Angeles,4/11/2021,706,8715,6,Foodies
102,TechCorp,Search,Men 18-24,45 days,YouTube,0.09,9941,4.54,Chicago,4/12/2021,207,8334,4,Tech Enthusiasts
103,DataTech Solutions,Influencer,Men 18-24,60 days,Website,0.08,10113,6.87,Houston,13/04/2021,583,1005,3,Health & Wellness
104,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,0.1,8310,7.17,Chicago,14/04/2021,864,6841,3,Tech Enthusiasts
105,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,0.06,15073,2.17,Los Angeles,15/04/2021,387,8035,2,Health & Wellness
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.09,7541,3.35,Chicago,16/04/2021,560,3439,7,Fashionistas
107,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.11,14875,6.5,New York,17/04/2021,306,1560,3,Health & Wellness
108,TechCorp,Email,All Ages,45 days,Email,0.06,5514,7.32,Miami,18/04/2021,740,4550,1,Outdoor Adventurers
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.05,15107,4.79,Houston,19/04/2021,115,1475,10,Fashionistas
110,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,0.1,13712,6.4,Chicago,20/04/2021,366,3843,3,Fashionistas
111,Alpha Innovations,Influencer,All Ages,60 days,Facebook,0.05,11789,5.39,Houston,21/04/2021,659,3670,9,Outdoor Adventurers
112,DataTech Solutions,Email,All Ages,30 days,Website,0.13,18335,7.58,Los Angeles,22/04/2021,552,3464,5,Health & Wellness
113,TechCorp,Display,Women 35-44,30 days,Google Ads,0.02,19035,2.01,Miami,23/04/2021,560,6945,7,Health & Wellness
114,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.11,17655,4.04,Los Angeles,24/04/2021,369,8912,4,Health & Wellness
115,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.11,6710,2.72,Houston,25/04/2021,886,6158,7,Fashionistas
116,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,0.09,9899,3.7,Los Angeles,26/04/2021,447,4878,8,Tech Enthusiasts
117,Innovate Industries,Email,All Ages,30 days,Instagram,0.14,7032,7.86,Chicago,27/04/2021,595,1555,4,Health & Wellness
118,TechCorp,Social Media,All Ages,45 days,Website,0.05,5174,4.98,Houston,28/04/2021,438,9741,1,Tech Enthusiasts
119,Innovate Industries,Display,Women 35-44,15 days,YouTube,0.14,15679,3.71,Los Angeles,29/04/2021,652,3884,7,Foodies
120,NexGen Systems,Display,All Ages,45 days,YouTube,0.07,12143,7.65,Miami,30/04/2021,802,8897,10,Tech Enthusiasts
121,Innovate Industries,Email,Women 35-44,45 days,Facebook,0.02,19329,7.58,Houston,5/1/2021,841,4536,8,Outdoor Adventurers
122,Innovate Industries,Search,All Ages,60 days,Email,0.09,8854,6.78,Chicago,5/2/2021,137,4002,6,Tech Enthusiasts
123,Alpha Innovations,Influencer,Women 35-44,45 days,YouTube,0.04,5232,7.61,New York,5/3/2021,850,6515,5,Foodies
124,NexGen Systems,Display,Men 25-34,30 days,Instagram,0.02,13006,3.7,Chicago,5/4/2021,727,2863,1,Fashionistas
125,DataTech Solutions,Email,Men 18-24,45 days,Website,0.13,5653,6.08,Chicago,5/5/2021,986,4477,10,Foodies
126,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,0.02,18169,5.5,Miami,5/6/2021,259,3941,7,Outdoor Adventurers
127,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.08,13316,6.15,Los Angeles,5/7/2021,321,7186,2,Fashionistas
128,NexGen Systems,Email,All Ages,15 days,Email,0.08,17847,6.68,Houston,5/8/2021,942,9066,3,Outdoor Adventurers
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.06,10639,4.32,New York,5/9/2021,166,5735,10,Health & Wellness
130,Innovate Industries,Display,Men 25-34,15 days,YouTube,0.03,10945,3.16,Chicago,5/10/2021,508,8054,6,Fashionistas
131,NexGen Systems,Email,Men 18-24,15 days,Instagram,0.11,5167,6.63,New York,5/11/2021,885,1932,7,Fashionistas
132,DataTech Solutions,Influencer,Men 25-34,60 days,Google Ads,0.15,8300,6.65,Chicago,5/12/2021,158,4842,4,Outdoor Adventurers
133,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,0.14,13469,7.54,Houston,13/05/2021,857,4028,8,Fashionistas
134,TechCorp,Search,Men 25-34,30 days,Facebook,0.1,19254,2.41,Miami,14/05/2021,481,1876,7,Foodies
135,DataTech Solutions,Display,All Ages,60 days,Google Ads,0.04,10704,6.46,Chicago,15/05/2021,999,7543,8,Tech Enthusiasts
136,NexGen Systems,Email,Men 18-24,30 days,Email,0.15,9229,3.56,New York,16/05/2021,939,5999,8,Tech Enthusiasts
137,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,0.1,14125,4.9,Houston,17/05/2021,885,7833,5,Fashionistas
138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,0.04,8222,6.17,Houston,18/05/2021,666,1435,4,Foodies
139,NexGen Systems,Email,Men 18-24,45 days,Website,0.07,14226,3.77,Chicago,19/05/2021,359,9440,8,Outdoor Adventurers
140,DataTech Solutions,Email,Men 18-24,60 days,Website,0.06,18985,4.61,Miami,20/05/2021,328,8840,5,Fashionistas
141,NexGen Systems,Email,Women 25-34,15 days,Email,0.08,5599,3.43,Houston,21/05/2021,571,2404,3,Fashionistas
142,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.08,11952,3.48,Houston,22/05/2021,845,5702,8,Health & Wellness
143,Innovate Industries,Display,Women 35-44,15 days,Facebook,0.05,14503,3.8,Miami,23/05/2021,585,9150,3,Tech Enthusiasts
144,DataTech Solutions,Search,Men 25-34,45 days,Instagram,0.11,10404,2.41,New York,24/05/2021,418,3556,2,Tech Enthusiasts
145,TechCorp,Social Media,Men 18-24,30 days,Email,0.12,7484,5.86,Houston,25/05/2021,208,8730,2,Outdoor Adventurers
146,TechCorp,Search,Men 25-34,60 days,Google Ads,0.03,7428,4.72,Houston,26/05/2021,556,5179,4,Tech Enthusiasts
147,TechCorp,Influencer,Men 25-34,15 days,Facebook,0.1,11495,5.13,Los Angeles,27/05/2021,734,2612,5,Health & Wellness
148,TechCorp,Influencer,All Ages,30 days,Facebook,0.13,18957,2.83,Los Angeles,28/05/2021,643,2939,4,Tech Enthusiasts
149,NexGen Systems,Display,Men 18-24,45 days,Instagram,0.06,10772,2.94,Chicago,29/05/2021,165,1496,6,Health & Wellness
150,TechCorp,Search,Women 35-44,60 days,Instagram,0.14,6896,2.15,Houston,30/05/2021,693,1290,1,Foodies
151,NexGen Systems,Search,Men 18-24,60 days,Facebook,0.13,13318,2.98,New York,31/05/2021,261,1415,6,Foodies
152,TechCorp,Influencer,Women 35-44,60 days,Website,0.06,7031,5.67,Houston,6/1/2021,404,8033,6,Tech Enthusiasts
153,Alpha Innovations,Display,Women 35-44,15 days,Instagram,0.06,5466,2.66,Houston,6/2/2021,257,5756,2,Tech Enthusiasts
154,Innovate Industries,Influencer,All Ages,30 days,Instagram,0.11,15303,7.41,Chicago,6/3/2021,901,8712,2,Foodies
155,TechCorp,Social Media,Women 35-44,30 days,Instagram,0.13,13157,4.41,New York,6/4/2021,724,9573,6,Fashionistas
156,Innovate Industries,Influencer,All Ages,15 days,Instagram,0.07,13197,3.31,Los Angeles,6/5/2021,672,8765,9,Tech Enthusiasts
157,Alpha Innovations,Display,Men 25-34,30 days,Facebook,0.09,19723,4.74,Houston,6/6/2021,148,2746,8,Outdoor Adventurers
158,NexGen Systems,Display,Men 18-24,60 days,Google Ads,0.12,18903,7.24,Miami,6/7/2021,488,4253,1,Tech Enthusiasts
159,Alpha Innovations,Display,Women 35-44,60 days,Website,0.06,17737,4.23,Houston,6/8/2021,420,8196,4,Foodies
160,DataTech Solutions,Social Media,Women 25-34,30 days,Instagram,0.08,16981,5.74,Miami,6/9/2021,395,7469,6,Foodies
161,TechCorp,Search,All Ages,45 days,Website,0.05,15993,6.55,Miami,6/10/2021,616,9536,8,Fashionistas
162,DataTech Solutions,Social Media,Men 18-24,30 days,YouTube,0.07,7893,5.28,Chicago,6/11/2021,170,6306,9,Foodies
163,TechCorp,Email,Women 25-34,15 days,Google Ads,0.04,9858,3.09,Los Angeles,6/12/2021,957,4396,9,Tech Enthusiasts
164,NexGen Systems,Influencer,Women 35-44,30 days,Email,0.09,6885,7.65,Houston,13/06/2021,872,3269,1,Tech Enthusiasts
165,TechCorp,Email,Men 25-34,30 days,Email,0.07,11587,3.17,Houston,14/06/2021,716,2676,9,Foodies
166,NexGen Systems,Email,All Ages,30 days,Facebook,0.15,5202,5.94,New York,15/06/2021,998,5108,3,Fashionistas
167,Innovate Industries,Search,Men 18-24,15 days,Instagram,0.08,15651,7.24,Los Angeles,16/06/2021,481,4165,7,Tech Enthusiasts
168,NexGen Systems,Display,All Ages,30 days,Website,0.12,11879,8,New York,17/06/2021,568,4997,6,Outdoor Adventurers
169,TechCorp,Influencer,Women 25-34,60 days,Email,0.03,12183,4.36,Los Angeles,18/06/2021,421,6087,10,Tech Enthusiasts
170,TechCorp,Search,All Ages,30 days,Google Ads,0.07,10690,5.41,Los Angeles,19/06/2021,797,1306,9,Foodies
171,TechCorp,Social Media,Men 25-34,30 days,Website,0.06,12886,4.62,Miami,20/06/2021,668,2507,8,Foodies
172,Innovate Industries,Influencer,Men 25-34,15 days,Google Ads,0.09,10854,6.1,Houston,21/06/2021,303,9453,2,Health & Wellness
173,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.11,7170,3.76,Los Angeles,22/06/2021,540,6422,8,Foodies
174,Innovate Industries,Display,Men 25-34,45 days,Google Ads,0.15,17414,6.9,Los Angeles,23/06/2021,801,8439,5,Foodies
175,Innovate Industries,Search,Men 18-24,15 days,Instagram,0.1,12272,5.29,Los Angeles,24/06/2021,436,7817,7,Outdoor Adventurers
176,Innovate Industries,Social Media,All Ages,15 days,Website,0.09,6489,2.22,Chicago,25/06/2021,683,9143,6,Foodies
177,Innovate Industries,Display,Women 35-44,60 days,YouTube,0.08,19732,6.06,Chicago,26/06/2021,862,6773,1,Tech Enthusiasts
178,Alpha Innovations,Social Media,All Ages,45 days,YouTube,0.09,17837,3.84,Houston,27/06/2021,944,9536,6,Foodies
179,Innovate Industries,Display,All Ages,45 days,Email,0.13,11954,4.91,Miami,28/06/2021,241,9184,8,Foodies
180,Alpha Innovations,Display,Women 35-44,30 days,Google Ads,0.01,16862,6.29,Chicago,29/06/2021,200,1513,9,Tech Enthusiasts
181,TechCorp,Display,All Ages,45 days,Email,0.07,8076,4.29,New York,30/06/2021,883,3400,8,Fashionistas
182,DataTech Solutions,Influencer,Women 35-44,15 days,Facebook,0.06,19143,2.58,Los Angeles,7/1/2021,690,1087,7,Tech Enthusiasts
183,TechCorp,Influencer,Women 35-44,15 days,Instagram,0.06,18350,3.2,New York,7/2/2021,372,3266,4,Health & Wellness
184,DataTech Solutions,Social Media,Men 18-24,45 days,Email,0.06,12315,3.97,Chicago,7/3/2021,505,4099,7,Fashionistas
185,NexGen Systems,Influencer,Men 25-34,15 days,Instagram,0.14,17598,7.27,Chicago,7/4/2021,961,8475,7,Outdoor Adventurers
186,TechCorp,Email,Women 35-44,30 days,Instagram,0.05,19545,2.57,Houston,7/5/2021,209,1917,1,Health & Wellness
187,NexGen Systems,Email,Men 25-34,60 days,Email,0.13,14231,6.28,Chicago,7/6/2021,312,8509,3,Health & Wellness
188,Alpha Innovations,Influencer,Women 25-34,30 days,Instagram,0.11,15162,7.8,Chicago,7/7/2021,360,6030,8,Tech Enthusiasts
189,DataTech Solutions,Social Media,Women 25-34,15 days,Email,0.12,15403,6.21,Houston,7/8/2021,542,6792,6,Foodies
190,Innovate Industries,Influencer,All Ages,15 days,Email,0.06,5363,5.46,Chicago,7/9/2021,369,8511,8,Tech Enthusiasts
191,DataTech Solutions,Social Media,Women 35-44,60 days,Website,0.12,13903,2.46,Chicago,7/10/2021,461,9733,9,Tech Enthusiasts
192,TechCorp,Influencer,Men 25-34,45 days,Facebook,0.12,14271,5.64,New York,7/11/2021,842,2301,1,Health & Wellness
193,DataTech Solutions,Social Media,Men 25-34,30 days,Google Ads,0.05,13744,4.7,Miami,7/12/2021,743,5155,5,Fashionistas
194,NexGen Systems,Email,All Ages,15 days,Google Ads,0.1,6093,4.28,New York,13/07/2021,423,1340,7,Foodies
195,DataTech Solutions,Email,All Ages,45 days,Email,0.07,5272,3.62,Chicago,14/07/2021,939,9590,9,Foodies
196,DataTech Solutions,Display,Women 35-44,30 days,YouTube,0.02,6208,7.31,Houston,15/07/2021,257,9939,8,Health & Wellness
197,Innovate Industries,Influencer,Women 25-34,45 days,Email,0.1,15437,3.72,Los Angeles,16/07/2021,683,4212,6,Tech Enthusiasts
198,DataTech Solutions,Display,Men 18-24,15 days,Instagram,0.01,16368,4.37,Los Angeles,17/07/2021,433,8942,5,Tech Enthusiasts
199,Innovate Industries,Influencer,Men 18-24,45 days,Email,0.14,10939,4.79,Miami,18/07/2021,146,1404,3,Outdoor Adventurers
200,TechCorp,Influencer,Men 25-34,30 days,Google Ads,0.02,16312,2.63,Chicago,19/07/2021,117,4406,7,Outdoor Adventurers
201,Innovate Industries,Search,Women 35-44,60 days,Facebook,0.09,9518,4.22,Houston,20/07/2021,324,8445,6,Tech Enthusiasts
202,DataTech Solutions,Influencer,Women 35-44,45 days,Instagram,0.13,16258,5.83,Chicago,21/07/2021,317,2305,10,Foodies
203,DataTech Solutions,Display,All Ages,30 days,Email,0.1,7176,7.27,Los Angeles,22/07/2021,472,7157,10,Tech Enthusiasts
204,TechCorp,Influencer,Men 18-24,45 days,Google Ads,0.15,14405,7.51,Los Angeles,23/07/2021,896,7502,9,Foodies
205,DataTech Solutions,Influencer,Women 35-44,45 days,Email,0.11,13293,7.49,Chicago,24/07/2021,132,1159,10,Foodies
206,Innovate Industries,Email,Men 18-24,15 days,Website,0.12,14318,3.69,Miami,25/07/2021,210,2135,3,Tech Enthusiasts
207,TechCorp,Social Media,Women 25-34,60 days,Instagram,0.05,8772,6.29,New York,26/07/2021,209,6176,6,Health & Wellness
